kecamatan,kelurahan,status,pria,wanita
Cimahi Selatan ,Kelurahan Cibeber ,Negeri,24,54
Cimahi Selatan ,Kelurahan Cibeureum ,Negeri,24,100
Cimahi Selatan ,Kelurahan Leuwigajah ,Negeri,29,90
Cimahi Selatan ,Kelurahan Melong  ,Negeri,35,186
Cimahi Selatan ,Kelurahan Utama ,Negeri,23,65
Cimahi Tengah ,Kelurahan Baros  ,Negeri,36,135
Cimahi Tengah ,Kelurahan Cigugur Tengah ,Negeri,33,117
Cimahi Tengah ,Kelurahan Cimahi ,Negeri,29,107
Cimahi Tengah ,Kelurahan Karangmekar ,Negeri,12,43
Cimahi Tengah ,Kelurahan Padasuka ,Negeri,25,63
Cimahi Tengah ,Kelurahan Setiamanah ,Negeri,8,36
Cimahi Utara ,Kelurahan Cibabat ,Negeri,36,112
Cimahi Utara ,Kelurahan Cipageran ,Negeri,36,109
Cimahi Utara ,Kelurahan Citeureup ,Negeri,23,59
Cimahi Utara ,Kelurahan Pasirkaliki ,Negeri,22,44
Cimahi Selatan ,Kelurahan Cibeber ,Swasta,  ,  
Cimahi Selatan ,Kelurahan Cibeureum ,Swasta,29,60
Cimahi Selatan ,Kelurahan Leuwigajah ,Swasta,7,24
Cimahi Selatan ,Kelurahan Melong  ,Swasta,7,14
Cimahi Selatan ,Kelurahan Utama ,Swasta,22,36
Cimahi Tengah ,Kelurahan Baros  ,Swasta,12,27
Cimahi Tengah ,Kelurahan Cigugur Tengah ,Swasta,  ,  
Cimahi Tengah ,Kelurahan Cimahi ,Swasta,4,12
Cimahi Tengah ,Kelurahan Karangmekar ,Swasta,2,13
Cimahi Tengah ,Kelurahan Padasuka ,Swasta,  ,  
Cimahi Tengah ,Kelurahan Setiamanah ,Swasta,  ,  
Cimahi Utara ,Kelurahan Cibabat ,Swasta,16,30
Cimahi Utara ,Kelurahan Cipageran ,Swasta,6,15
Cimahi Utara ,Kelurahan Citeureup ,Swasta,19,51
Cimahi Utara ,Kelurahan Pasirkaliki ,Swasta,7,11
